Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Albuquerque, NM",Black,50%,1483018.64,380017.76,1103000.88,128110.69,3524430.71,92142.6,13.16926532,1969736.56
"Albuquerque, NM","White, Non-Hispanic",50%,13302788.84,3782474.91,9520313.93,1144495.31,34040645.61,688057.84,116.452102,17627897.8
"Albuquerque, NM",All Students,50%,39989410.38,9733002.75,30256407.63,3474890.36,93406841.09,2427346.58,357.4151114,53169814.18
"Allentown-Bethlehem-Easton, PA",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Allentown-Bethlehem-Easton, PA",Asian/Pacific Islander,50%,659287.56,201558.88,457728.68,74408.09,1539163.45,44024.47,5.030955134,868107.46
"Allentown-Bethlehem-Easton, PA",Hispanic,50%,6075191.56,1588984.64,4486206.91,706890.82,14388388.34,488939.87,47.55877013,8029730.05
"Allentown-Bethlehem-Easton, PA",Black,50%,2887069.75,771259.04,2115810.71,333090.25,6740748.51,238493.05,22.52887112,3814088.37
"Allentown-Bethlehem-Easton, PA","White, Non-Hispanic",50%,10550871.8,3082469.19,7468402.61,1229794.37,26239206.13,710785.04,81.15264636,13908880.04
"Allentown-Bethlehem-Easton, PA",All Students,50%,16446115.47,4209560.42,12236555.05,1843378.23,34826270.41,1337812.17,129.157227,21747623.21
"Altoona, PA",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Altoona, PA",Black,50%,118322.28,26040,92282.28,11800.12,238584.12,8843.37,0.997481,151613.53
"Altoona, PA","White, Non-Hispanic",50%,2739865.92,690428.27,2049437.64,275774.49,6263565.98,171886.73,22.8128046,3504231.59
"Altoona, PA",All Students,50%,2573159.47,542270.05,2030889.42,258541.44,5209184.15,195517.76,21.77050563,3298938.18
"Amarillo, TX",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Amarillo, TX",Asian/Pacific Islander,50%,57897.35,16302.55,41594.8,4039.87,93946.02,7307.02,0.462726983,74063.26
"Amarillo, TX",Hispanic,50%,1245893.98,312413.21,933480.77,89208.63,2013442.87,228121.57,10.10784983,1597154.12
"Amarillo, TX",Black,50%,298075.4,73936.07,224139.33,20993.14,455605.42,57813.12,2.42142805,382184.25
"Amarillo, TX","White, Non-Hispanic",50%,1768752.46,508664.33,1260088.13,128131.98,3220905.02,236133.14,14.09460009,2261681.28
"Amarillo, TX",All Students,50%,3457423.94,864965.98,2592457.97,242046.99,5219723.93,514672.65,28.05766151,4432366.16
"Anchorage, AK",American Indian or Alaska Native,50%,3630739.8,1057434.06,2573305.74,168432.36,11624041.52,268331.89,22.01605266,4642425.6
"Anchorage, AK",Asian/Pacific Islander,50%,1223941.05,361903.64,862037.41,55319.31,3817757.71,83355.36,7.401319003,1564579.77
"Anchorage, AK",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anchorage, AK",Black,50%,1434695.71,418150.69,1016545.01,62372.61,4304527.75,110631.41,8.698559728,1834443.21
"Anchorage, AK","White, Non-Hispanic",50%,9281390.65,2979491.31,6301899.33,408459.17,28189038.73,562905.78,55.24335437,11846977.55
"Anchorage, AK",All Students,50%,10224184.98,2926113.31,7298071.67,444315.13,30663570.28,725421.38,62.19109115,13076950.99
"Appleton, WI",American Indian or Alaska Native,50%,108937.53,30695.28,78242.25,13976.64,316758.1,16128.33,0.798681642,137409.81
"Appleton, WI",Asian/Pacific Islander,50%,160128.36,47816.11,112312.24,20077.6,449285.12,18368.45,1.162179816,201822.31
"Appleton, WI",Hispanic,50%,97261.51,27198.18,70063.33,12580.29,287297.11,13472.18,0.713985404,122694.22
"Appleton, WI",Black,50%,125155.79,36005.49,89150.3,15752.85,350761.35,18610.3,0.914344256,157823.62
"Appleton, WI","White, Non-Hispanic",50%,1382408.9,423982.86,958426.04,165060.25,3499520.14,180176.09,9.984287869,1741704.38
"Appleton, WI",All Students,50%,1602493.96,433720.51,1168773.45,195194.08,4104222.34,223021.89,11.82678555,2022369
"Asheville, NC",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Asheville, NC",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Asheville, NC",Hispanic,50%,691394.97,165200.41,526194.56,58584.93,1528655.14,93360.39,6.839118855,917558.07
"Asheville, NC",Black,50%,676999.39,159354.15,517645.24,57377.36,1482904.99,95557.62,6.707722063,898724.87
"Asheville, NC","White, Non-Hispanic",50%,7565644.18,2049026.64,5516617.54,654975.05,20316373.02,860164.68,73.7345488,10013245.13
"Asheville, NC",All Students,50%,8305352.59,1938727.85,6366624.74,700359.43,17573399.17,1088959.8,82.36368471,11027283.71
"Atlanta-Sandy Springs-Marietta, GA",American Indian or Alaska Native,50%,549056.82,152475.99,396580.83,53592.2,1286216.98,30854.58,4.538423998,748787.21
"Atlanta-Sandy Springs-Marietta, GA",Asian/Pacific Islander,50%,4178434.2,1222684.48,2955749.72,400822.55,9491387.44,209459.16,34.22438463,5688138.86
"Atlanta-Sandy Springs-Marietta, GA",Hispanic,50%,27799561.9,7349148.14,20450413.76,2698975.84,61063184.75,1631548.46,231.6560619,37973430.42
"Atlanta-Sandy Springs-Marietta, GA",Black,50%,107569707,28762692.52,78807014.51,10412054.06,235261292.8,6400578.54,894.7480949,146883538
"Atlanta-Sandy Springs-Marietta, GA","White, Non-Hispanic",50%,81869156.14,24556001.82,57313154.33,8052070.86,210671648.5,3925956.54,667.5462109,111350228.5
"Atlanta-Sandy Springs-Marietta, GA",All Students,50%,214057872.4,56395266.19,157662606.2,20722790.45,462699489.2,12187820.04,1784.737,292429053.3
"Augusta-Richmond County, GA",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Augusta-Richmond County, GA",Asian/Pacific Islander,50%,237657.9,65066.03,172591.87,18283.77,520509.94,19184.02,1.826075109,298450.63
"Augusta-Richmond County, GA",Hispanic,50%,593243.81,153602.05,439641.76,46243.24,1321473.69,53694.68,4.588582886,745489.84
"Augusta-Richmond County, GA",Black,50%,12160770.1,3034406.11,9126363.99,951415.26,26784389.26,1170298.13,94.45319038,15288036.91
"Augusta-Richmond County, GA","White, Non-Hispanic",50%,11372196.13,3251176.33,8121019.79,887132.47,27518758.2,864492.03,86.90623226,14273470.38
"Augusta-Richmond County, GA",All Students,50%,23729391.91,5869547.86,17859844.05,1847179.99,50639091.05,2157897.42,184.48427,29834538.58
"Austin-Round Rock, TX",American Indian or Alaska Native,50%,245720.58,68684.26,177036.32,21529.82,384684.54,15234.71,1.964876904,329926.45
"Austin-Round Rock, TX",Asian/Pacific Islander,50%,389298.68,120071.37,269227.31,33080.99,603874.18,19760,3.064594271,521224.11
"Austin-Round Rock, TX",Hispanic,50%,20878162.51,5444169.85,15433992.65,1844344.16,31724431.31,1369270.44,168.6342149,28084516.4
"Austin-Round Rock, TX",Black,50%,5873712.16,1564929.46,4308782.71,517677.45,9011271.04,392918.82,47.29913164,7896706.59
"Austin-Round Rock, TX","White, Non-Hispanic",50%,12971018.91,3929826.3,9041192.62,1150861.4,22497945.11,677146.74,102.4135542,17375968.07
"Austin-Round Rock, TX",All Students,50%,38455338.26,10187624.31,28267713.95,3394888.59,59044565.81,2377383.29,309.9179966,51707577.39
"Bakersfield, CA",American Indian or Alaska Native,50%,329528.13,86026.88,243501.25,43029.7,1008826.36,26872.16,2.326690203,423465.14
"Bakersfield, CA",Asian/Pacific Islander,50%,1146418.79,317011.92,829406.87,149835.83,3644975.05,84261.05,8.034213,1472122.89
"Bakersfield, CA",Hispanic,50%,20491961.49,4955462.61,15536498.88,2709706.05,62848906.29,1746675.56,146.0273256,26357967.08
"Bakersfield, CA",Black,50%,2334503.35,579765.36,1754738,309598.04,7342378.56,202392.87,16.58408727,3001830.89
"Bakersfield, CA","White, Non-Hispanic",50%,12054356.83,3414102.64,8640254.18,1584652.12,39664937.49,854116.82,84.20339826,15474054.98
"Bakersfield, CA",All Students,50%,37347772.94,9150156.8,28197616.14,4924295.58,114163406.2,3127763.41,265.7400958,48031548.01
"Baltimore-Towson, MD",American Indian or Alaska Native,50%,496167.17,148578.26,347588.92,58146.66,1828032.47,25552.83,3.555020126,659373.32
"Baltimore-Towson, MD",Asian/Pacific Islander,50%,906692.4,287308.3,619384.11,105124.81,3326677.66,41036.55,6.429229957,1202769.57
"Baltimore-Towson, MD",Hispanic,50%,2758950.57,816436.17,1942514.4,324841.83,10234916.23,141062.02,19.809196,3667796.83
"Baltimore-Towson, MD",Black,50%,47722968.1,13750109.13,33972858.97,5668217.23,179064967.5,2567793.26,344.2327443,63494742.84
"Baltimore-Towson, MD","White, Non-Hispanic",50%,32163236.9,10340818.8,21822418.09,3867690.02,129108333,1410214.84,227.4309548,42645598.85
"Baltimore-Towson, MD",All Students,50%,76924905.31,21984712.96,54940192.35,9117881.81,286416263,4001252.06,555.632583,102372061.6
"Bangor, ME",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bangor, ME",Black,50%,70635.79,17045.64,53590.14,7090.91,152498.1,7564.51,0.5814761,91008.83
"Bangor, ME","White, Non-Hispanic",50%,2654149.89,713280.23,1940869.66,280019.42,6895813.18,231998.06,21.61488198,3414150.49
"Bangor, ME",All Students,50%,2338241.79,539510.46,1798731.33,239213.77,5267991.79,241128,19.32809965,3014523.09
"Baton Rouge, LA",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Baton Rouge, LA",Asian/Pacific Islander,50%,222928.46,62378.14,160550.32,20081.25,437728.32,11227.86,1.644880922,282763.4
"Baton Rouge, LA",Hispanic,50%,548430.2,139552.44,408877.76,50380.59,999394.59,31107.9,4.103031822,696526.57
"Baton Rouge, LA",Black,50%,15724408.02,3895163.88,11829244.14,1465532.79,32165280.59,931713.95,118.0710965,19977405.96
"Baton Rouge, LA","White, Non-Hispanic",50%,13095719.23,3669575.49,9426143.74,1180219.28,26025119.29,634081.62,96.60572685,16610328.89
"Baton Rouge, LA",All Students,50%,29021973.06,7022384.88,21999588.17,2703984.42,54621110.97,1660976.41,218.5964096,36882317.36
"Beaumont-Port Arthur, TX",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Beaumont-Port Arthur, TX",Asian/Pacific Islander,50%,261363.16,72979.76,188383.39,17358.34,398031.34,22390.03,1.647184233,321733.76
"Beaumont-Port Arthur, TX",Hispanic,50%,1646601.49,427963.23,1218638.27,110512.04,2448122.1,165509.69,10.47320369,2027923.7
"Beaumont-Port Arthur, TX",Black,50%,4177240.05,1073392.63,3103847.42,284640.87,6461183.82,449000.87,26.60638771,5144991.55
"Beaumont-Port Arthur, TX","White, Non-Hispanic",50%,5881320.51,1716971.29,4164349.22,411807.39,10800823.94,503564.54,36.84052087,7237496.78
"Beaumont-Port Arthur, TX",All Students,50%,11130869.48,2833163.84,8297705.65,754288.68,16798437.66,1090221.93,70.97812755,13710422.26
"Billings, MT",American Indian or Alaska Native,50%,489396.34,119940.74,369455.6,25423.64,921394.61,46993.07,4.15772791,637729.61
"Billings, MT",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Billings, MT",Hispanic,50%,226321.16,50861.91,175459.25,11544.09,409933.39,22218.54,1.942919013,295345.8
"Billings, MT",Black,50%,71077.46,17979,53098.46,3543.06,122487.94,6583.5,0.601395889,92568.64
"Billings, MT","White, Non-Hispanic",50%,2605801.47,694144.64,1911656.84,144305.88,5584071.17,210517.1,21.89461451,3390445.22
"Billings, MT",All Students,50%,2870805.79,656708.02,2214097.78,145049.29,5094888.71,271383.35,24.59467466,3745286.71
"Binghamton, NY",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Binghamton, NY",Asian/Pacific Islander,50%,140837.24,39628.13,101209.11,16865.22,283560.88,11787.9,1.185786144,180961.96
"Binghamton, NY",Hispanic,50%,247620.83,63230.88,184389.95,29504.35,481854.28,24255.19,2.111467548,318656.61
"Binghamton, NY",Black,50%,479634.72,120637.7,358997.02,58149.51,971480.18,48897.99,4.09744853,617368.39
"Binghamton, NY","White, Non-Hispanic",50%,4697762.31,1307625.15,3390137.16,589456.52,10542089.21,398084.97,39.61172893,6037238.08
"Binghamton, NY",All Students,50%,4370729.65,1061944.32,3308785.33,530321.42,8808766.61,445161.41,37.49288223,5628677.14
"Birmingham, ALØ",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Birmingham, ALØ",Asian/Pacific Islander,50%,479736.01,149084.35,330651.66,43284.05,963560.98,23574.34,3.810313337,640407.43
"Birmingham, ALØ",Hispanic,50%,1528135.75,396432.17,1131703.58,144190.68,2974442.82,101217.7,12.48374037,2050010.66
"Birmingham, ALØ",Black,50%,14754501.2,3805717.63,10948783.57,1396874.13,29278973.52,1038949.15,120.6302095,19796139.53
"Birmingham, ALØ","White, Non-Hispanic",50%,14513531.95,4231853.83,10281678.12,1343661.97,31182809.26,821693.33,116.5036275,19410112.26
"Birmingham, ALØ",All Students,50%,29812313.76,7573864.29,22238449.47,2827637.69,58185270.55,1964401.64,244.251678,40014107.1
"Bismarck, ND ",American Indian or Alaska Native,50%,205566.36,53449.7,152116.66,16125.7,284751.05,15437.9,1.755611159,263270.54
"Bismarck, ND ",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ",Black,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bismarck, ND ","White, Non-Hispanic",50%,975175.81,277872.07,697303.74,78190.16,1538874.54,64732.63,8.22560019,1247036.15
"Bismarck, ND ",All Students,50%,1207352.25,301941.79,905410.46,94725.34,1631404.63,90351.5,10.36187075,1547192.41
"Bloomington-Normal, IL",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bloomington-Normal, IL",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bloomington-Normal, IL",Hispanic,50%,433500.35,105370.4,328129.95,49602.24,1108705.65,27567.3,2.844312391,533383.35
"Bloomington-Normal, IL",Black,50%,1494273.09,379419.15,1114853.94,171698.85,3914338.78,99723.14,9.760033347,1838203.13
"Bloomington-Normal, IL","White, Non-Hispanic",50%,3636695.25,1027130.93,2609564.32,426324.7,10324728.22,199844.46,23.47008781,4471394.37
"Bloomington-Normal, IL",All Students,50%,4788135.84,1179157.68,3608978.16,551771.03,12505568.64,316635.95,31.37440337,5891026.46
"Boise City-Nampa, ID",American Indian or Alaska Native,50%,195543.96,49232.58,146311.38,19839.05,511464.61,13746.76,1.918281118,266194.56
"Boise City-Nampa, ID",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Boise City-Nampa, ID",Hispanic,50%,2880597.43,706927.27,2173670.16,290445.85,7262565.45,202080.16,28.36129394,3923951.28
"Boise City-Nampa, ID",Black,50%,257450.53,66181.57,191268.96,25452.08,618571.25,19001.34,2.517946751,350275.92
"Boise City-Nampa, ID","White, Non-Hispanic",50%,12559739.92,3510637.01,9049102.92,1273005.34,34689835.96,762670.34,121.2580512,17048453.56
"Boise City-Nampa, ID",All Students,50%,14642710.18,3548558.07,11094152.11,1460653.88,35192169.14,1020805.81,144.4183625,19952642.77
"Boston-Cambridge-Quincy, MA-NH",American Indian or Alaska Native,50%,553596.78,165016.74,388580.03,58349.12,2157986.59,39494.3,2.914171079,723050.18
"Boston-Cambridge-Quincy, MA-NH",Asian/Pacific Islander,50%,4338471.65,1390349.67,2948121.98,451206.21,16817177.52,258331.09,22.52508479,5653817.99
"Boston-Cambridge-Quincy, MA-NH",Hispanic,50%,18103971.52,5170755.27,12933216.25,1908566.02,69721593.81,1310604.46,96.02764319,23674882.26
"Boston-Cambridge-Quincy, MA-NH",Black,50%,12410668.56,3591624.54,8819044.02,1272416.37,45170720.5,926071.62,65.67776795,16223539.16
"Boston-Cambridge-Quincy, MA-NH","White, Non-Hispanic",50%,38580886.87,12392660.16,26188226.71,4161818.02,161331378.4,2277336.04,200.2173649,50274188.09
"Boston-Cambridge-Quincy, MA-NH",All Students,50%,63972689.59,18313176.43,45659513.16,6561976.31,232299652.9,4510129.03,339.1917172,83652792.03
"Bradenton-Sarasota-Venice, FL",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bradenton-Sarasota-Venice, FL",Asian/Pacific Islander,50%,134260.55,37117.3,97143.25,9334.96,319632.22,12939.98,0.976471497,171790.14
"Bradenton-Sarasota-Venice, FL",Hispanic,50%,2661819.08,682809.22,1979009.86,186464.97,6173599.05,292027.94,19.51675829,3409423.32
"Bradenton-Sarasota-Venice, FL",Black,50%,2333190.2,592627.95,1740562.26,164262.46,5453849.22,266807.51,17.12466432,2988888.57
"Bradenton-Sarasota-Venice, FL","White, Non-Hispanic",50%,9340476.75,2701862.87,6638613.89,663168.14,24143236.9,855029.63,67.57799768,11943398.37
"Bradenton-Sarasota-Venice, FL",All Students,50%,13643291.48,3451199.43,10192092.05,960311.15,31794496.37,1446012.47,100.1782738,17478425.93
"Bridgeport-Stamford-Norwalk, CT",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bridgeport-Stamford-Norwalk, CT",Asian/Pacific Islander,50%,888581.05,302621.11,585959.94,122576.83,3669600.7,41105.73,3.588175994,1111215.36
"Bridgeport-Stamford-Norwalk, CT",Hispanic,50%,5889047.83,1710920.98,4178126.84,832735.65,24497974.05,364617.07,24.3681233,7380913.3
"Bridgeport-Stamford-Norwalk, CT",Black,50%,3687989.86,1078210.69,2609779.17,518696.46,15182803.62,231736.31,15.24696145,4621888.93
"Bridgeport-Stamford-Norwalk, CT","White, Non-Hispanic",50%,7343887.44,2466491.49,4877395.95,1060859.69,33362057.97,349039.21,29.72429796,9185821.84
"Bridgeport-Stamford-Norwalk, CT",All Students,50%,16212384.23,4823518.2,11388866.02,2281005.05,67131096.92,944007.29,66.85865659,20313151.82
"Buffalo-Niagara Falls, NY",American Indian or Alaska Native,50%,493536.06,126932.84,366603.22,63318.66,982625.3,47323.79,4.645704328,670858.13
"Buffalo-Niagara Falls, NY",Asian/Pacific Islander,50%,362566.23,107496.56,255069.67,46574.53,744017.89,27425.15,3.336819926,490897.98
"Buffalo-Niagara Falls, NY",Hispanic,50%,2167729.02,565605.65,1602123.37,279545.88,4377891.52,199408.19,20.36188841,2945472.4
"Buffalo-Niagara Falls, NY",Black,50%,8379115.81,2122984.75,6256131.06,1093416.66,17286279.11,824023.01,79.04450562,11393990.24
"Buffalo-Niagara Falls, NY","White, Non-Hispanic",50%,12748211.28,3640682.84,9107528.44,1722105.99,28941854.31,1039821.51,118.0681136,17279363.01
"Buffalo-Niagara Falls, NY",All Students,50%,19896826.17,4960049.18,14936776.99,2556032.96,39510873.01,1889045.14,188.1300621,27066881.79
"Burlington-South Burlington, VT",American Indian or Alaska Native,50%,66518.89,18546.57,47972.32,8328.03,188902.57,9881.46,0.510055177,86890.53
"Burlington-South Burlington, VT",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Burlington-South Burlington, VT",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Burlington-South Burlington, VT",Black,50%,122957.76,34587.83,88369.93,15695.78,365717.89,17557.01,0.94161312,160582.79
"Burlington-South Burlington, VT","White, Non-Hispanic",50%,1348039.47,409540.85,938498.62,160938.01,3527805.77,158143.22,10.20347372,1757435.99
"Burlington-South Burlington, VT",All Students,50%,1359841.45,366175.06,993666.4,170985.67,3859548.45,180577.88,10.47826219,1777624.35
"Canton-Massillon, OH",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Canton-Massillon, OH",Black,50%,1211313.73,286983.45,924330.27,106844.93,2644638.48,116318.72,11.19190318,1587256
"Canton-Massillon, OH","White, Non-Hispanic",50%,4984608.42,1346873.73,3637734.69,443556.28,12135027.08,393357.52,45.34297961,6515996.9
"Canton-Massillon, OH",All Students,50%,5557430.75,1285097.86,4272332.88,493202.38,12255531.37,515822.29,51.48322414,7285203.46
"Cape Coral-Fort Myers, FL",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cape Coral-Fort Myers, FL",Asian/Pacific Islander,50%,98664.51,27456.26,71208.24,7116.57,236023.23,9432,0.649551861,124324.65
"Cape Coral-Fort Myers, FL",Hispanic,50%,3058209.74,778259.04,2279950.7,222147.62,7083035.44,333833.14,20.28970937,3855968.94
"Cape Coral-Fort Myers, FL",Black,50%,1577342.76,396509.73,1180833.03,115106.91,3672773.73,178796.96,10.47539425,1988966.79
"Cape Coral-Fort Myers, FL","White, Non-Hispanic",50%,5846750.68,1676768.96,4169981.73,432159.34,15100450.96,540532.79,38.38499542,7365705.08
"Cape Coral-Fort Myers, FL",All Students,50%,9703758.95,2423143.86,7280615.09,710047.85,22673107.81,1034536.41,64.47896836,12236588.38
"Casper, WY",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY",Hispanic,50%,4912.27,2618.73,2293.54,377.26,44581.73,21153.43,#DIV/0!,#DIV/0!
"Casper, WY",Black,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Casper, WY","White, Non-Hispanic",50%,164991.07,58562.55,106428.52,8115.32,474344.53,148380.07,#DIV/0!,#DIV/0!
"Casper, WY",All Students,50%,1372772.66,355770.32,1017002.34,69547.7,3174461.54,175045.49,8.706159912,1723673.19
"Cedar Rapids, IA ",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cedar Rapids, IA ",Asian/Pacific Islander,50%,167058.52,47509.55,119548.97,15897.73,333670.32,7838.6,1.26080308,214632.14
"Cedar Rapids, IA ",Hispanic,50%,177507.96,44440.43,133067.53,16866.12,324637.67,9086.67,1.36318597,228512.93
"Cedar Rapids, IA ",Black,50%,633327.98,161399.51,471928.47,61678.38,1287019.45,34675.32,4.852628548,815093.57
"Cedar Rapids, IA ","White, Non-Hispanic",50%,4819773.11,1380735.04,3439038.07,465321.54,10185710.48,219208.48,36.33607005,6191552.54
"Cedar Rapids, IA ",All Students,50%,4862839.38,1217193.26,3645646.12,465681.53,9171983.59,259678.08,37.34553888,6260142.47
"Champaign-Urbana, IL",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Champaign-Urbana, IL",Asian/Pacific Islander,50%,100948.93,30581.64,70367.29,11531.17,276878.45,9164.06,0.816901005,128924.93
"Champaign-Urbana, IL",Hispanic,50%,256708.85,69396.94,187311.91,29925.88,708328.38,27600.18,2.109811169,328319.7
"Champaign-Urbana, IL",Black,50%,1395597.13,356542.05,1039055.08,165473.9,3930122.35,180297.08,11.55040243,1786071.24
"Champaign-Urbana, IL","White, Non-Hispanic",50%,2070184.35,594546.07,1475638.28,249896.41,6285614.59,207971.7,16.87882407,2645721.7
"Champaign-Urbana, IL",All Students,50%,3417694.82,866030.22,2551664.6,403235.01,9494299.53,406012.43,28.3134974,4374330.05
"Charleston, WV ",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Hispanic,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston, WV ",Black,50%,888085.74,209150.91,678934.83,75365.49,1598113.24,53659.35,6.345813472,1134681.01
"Charleston, WV ","White, Non-Hispanic",50%,9690582.88,2560841.06,7129741.82,818217.5,19508277.17,472693.43,68.23875339,12359791.1
"Charleston, WV ",All Students,50%,8566976.83,1929071.56,6637905.27,729573.62,14962361.81,504939.17,61.53465472,10952630.02
"Charleston-North Charleston-Summerville, SC",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston-North Charleston-Summerville, SC",Asian/Pacific Islander,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Charleston-North Charleston-Summerville, SC",Hispanic,50%,1300606.57,329523.51,971083.06,104004.94,2902917.57,108523.18,10.65980582,1681039.93
"Charleston-North Charleston-Summerville, SC",Black,50%,15369611.65,3789290.42,11580321.23,1228412.62,33047220.04,1272644.9,126.3876458,19874193.5
"Charleston-North Charleston-Summerville, SC","White, Non-Hispanic",50%,15038020.65,4312421.29,10725599.36,1183210.7,35527233.35,1000000.81,121.2483085,19394036.43
"Charleston-North Charleston-Summerville, SC",All Students,50%,29627221.31,7351528,22275693.31,2372832.86,65102799.43,2387048.83,243.4431789,38306474.04
"Charlotte-Gastonia-Concord, NC-SC",American Indian or Alaska Native,50%,554250.8,152268.82,401981.98,56897.1,1306572.48,39050,4.473062311,744568.37
"Charlotte-Gastonia-Concord, NC-SC",Asian/Pacific Islander,50%,1542862.31,445709.15,1097153.16,157177.77,3674833.91,95718.38,12.35549781,2069851.43
"Charlotte-Gastonia-Concord, NC-SC",Hispanic,50%,7065254.76,1846232.77,5219021.99,731331.18,16577687.23,520824.3,57.43711684,9503444.33
"Charlotte-Gastonia-Concord, NC-SC",Black,50%,25808396.73,6800867.52,19007529.21,2680554.38,61962076.33,1954295.18,209.5596927,34707489.38
"Charlotte-Gastonia-Concord, NC-SC","White, Non-Hispanic",50%,28723428.98,8614322.96,20109106.02,2993954.46,78070556.38,1709706.32,228.6287479,38493845.3
"Charlotte-Gastonia-Concord, NC-SC",All Students,50%,62696392.07,16456544.34,46239847.73,6496114.22,148346174.1,4373901.46,509.3690673,84323274.36
"Chattanooga, TN",American Indian or Alaska Native,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Chattanooga, TN",Asian/Pacific Islander,50%,95448.49,26012.91,69435.57,6728.11,192552.65,9047.03,0.747307561,124557.19
"Chattanooga, TN",Hispanic,50%,123955.61,30869.73,93085.88,8920.4,252869.92,13969.12,0.981335046,162035.3
"Chattanooga, TN",Black,50%,2241477.94,542169.91,1699308.03,158803.7,4153097.81,284194.28,17.8050713,2931596.63
"Chattanooga, TN","White, Non-Hispanic",50%,7247137.4,2009070.46,5238066.94,521575.84,16181118.85,732682.91,56.61457737,9454045.28
"Chattanooga, TN",All Students,50%,9040760.66,2168357.16,6872403.5,644558.9,17126258.28,1031563.49,71.8833855,11826034.4
